time,aao,fase
2023-11-01,0.0965,neutral
2023-12-01,1.51,positivo
2024-01-01,0.922,positivo
2024-02-01,1.0428,positivo
2024-03-01,-0.0579,neutral
2024-04-01,1.0055,positivo
2024-05-01,-0.0731,neutral
2024-06-01,0.2101,neutral
2024-07-01,-0.5969,negativo
2024-08-01,-2.1504,negativo
2024-09-01,0.0978,neutral
2024-10-01,-0.567,negativo
2024-11-01,1.0195,positivo
2024-12-01,-0.8259,negativo
2025-01-01,-0.0803,neutral
2025-02-01,-0.2708,neutral
2025-03-01,0.7332,positivo
2025-04-01,1.138,positivo
2025-05-01,0.5086,positivo
2025-06-01,0.209,neutral
2025-07-01,0.7531,positivo
2025-08-01,0.3566,neutral
2025-09-01,-0.7092,negativo
2025-10-01,-1.2362,negativo
2025-11-01,-1.3236,negativo
2025-12-01,-1.1357,negativo
2026-01-01,0.8476,positivo
2026-02-01,0.4886,neutral
2026-03-01,0.492,neutral
2026-04-01,-0.1252,neutral
2026-05-01,0.5444,positivo
